episode,time,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,
0,0,1,1,1,0,1,1,1,1,0,1,0.003333333,0.003333333,0.003333333,0.003333333,0.003333333,0.003333333,0.003333333,0.003333333,0.003333333,0.003333333,8
0,1,1,1,1,1,1,1,1,1,0,1,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,9
0,2,1,1,1,1,1,1,1,1,0,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,9
0,3,1,1,1,1,1,1,1,1,0,1,0.013333333,0.013333333,0.013333333,0.013333333,0.013333333,0.013333333,0.013333333,0.013333333,0.013333333,0.013333333,9
0,4,1,0,1,1,1,1,1,1,0,1,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,8
0,5,1,1,1,1,1,1,1,1,0,1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,9
0,6,1,0,0,1,0,1,1,1,0,1,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,6
0,7,1,0,1,1,1,1,1,1,0,1,0.026666667,0.026666667,0.026666667,0.026666667,0.026666667,0.026666667,0.026666667,0.026666667,0.026666667,0.026666667,8
0,8,1,0,1,1,1,1,1,1,0,1,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,8
0,9,1,0,1,1,1,1,1,1,0,1,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,8
0,10,1,0,1,1,1,1,0,1,0,1,0.036666667,0.036666667,0.036666667,0.036666667,0.036666667,0.036666667,0.036666667,0.036666667,0.036666667,0.036666667,7
0,11,1,0,1,1,1,1,0,1,0,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,7
0,12,1,0,1,1,1,1,1,1,0,1,0.043333333,0.043333333,0.043333333,0.043333333,0.043333333,0.043333333,0.043333333,0.043333333,0.043333333,0.043333333,8
0,13,1,0,1,1,1,1,1,1,0,1,0.046666667,0.046666667,0.046666667,0.046666667,0.046666667,0.046666667,0.046666667,0.046666667,0.046666667,0.046666667,8
0,14,1,0,1,1,1,1,1,1,0,1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,8
0,15,1,0,1,1,1,1,1,1,0,1,0.053333333,0.053333333,0.053333333,0.053333333,0.053333333,0.053333333,0.053333333,0.053333333,0.053333333,0.053333333,8
0,16,1,0,1,1,1,1,1,0,0,1,0.056666667,0.056666667,0.056666667,0.056666667,0.056666667,0.056666667,0.056666667,0.056666667,0.056666667,0.056666667,7
0,17,1,0,1,1,0,1,1,1,0,1,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,7
0,18,1,0,1,1,1,1,1,1,0,1,0.063333333,0.063333333,0.063333333,0.063333333,0.063333333,0.063333333,0.063333333,0.063333333,0.063333333,0.063333333,8
0,19,1,0,1,0,0,1,1,1,0,1,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,6
0,20,1,0,1,1,1,1,1,1,0,1,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,8
0,21,1,0,1,1,1,1,1,1,0,1,0.073333333,0.073333333,0.073333333,0.073333333,0.073333333,0.073333333,0.073333333,0.073333333,0.073333333,0.073333333,8
0,22,1,0,1,1,1,1,1,1,0,1,0.076666667,0.076666667,0.076666667,0.076666667,0.076666667,0.076666667,0.076666667,0.076666667,0.076666667,0.076666667,8
0,23,1,0,1,1,0,1,1,1,0,1,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,7
0,24,1,0,1,1,1,1,1,1,0,1,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,8
0,25,1,0,1,1,1,1,1,1,0,1,0.086666667,0.086666667,0.086666667,0.086666667,0.086666667,0.086666667,0.086666667,0.086666667,0.086666667,0.086666667,8
0,26,1,0,1,1,1,1,1,0,0,1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,7
0,27,1,0,1,1,1,1,1,1,0,1,0.093333333,0.093333333,0.093333333,0.093333333,0.093333333,0.093333333,0.093333333,0.093333333,0.093333333,0.093333333,8
0,28,1,0,1,1,1,1,1,1,0,1,0.096666667,0.096666667,0.096666667,0.096666667,0.096666667,0.096666667,0.096666667,0.096666667,0.096666667,0.096666667,8
0,29,1,0,1,1,1,1,1,1,0,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8
0,30,1,0,1,1,1,1,1,1,0,1,0.103333333,0.103333333,0.103333333,0.103333333,0.103333333,0.103333333,0.103333333,0.103333333,0.103333333,0.103333333,8
0,31,1,0,1,1,1,1,1,1,0,1,0.106666667,0.106666667,0.106666667,0.106666667,0.106666667,0.106666667,0.106666667,0.106666667,0.106666667,0.106666667,8
0,32,1,0,1,1,1,1,1,1,0,1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,8
0,33,1,0,1,1,1,1,1,1,0,1,0.113333333,0.113333333,0.113333333,0.113333333,0.113333333,0.113333333,0.113333333,0.113333333,0.113333333,0.113333333,8
0,34,1,0,0,1,1,1,1,1,0,1,0.116666667,0.116666667,0.116666667,0.116666667,0.116666667,0.116666667,0.116666667,0.116666667,0.116666667,0.116666667,7
0,35,1,1,1,1,1,1,1,1,0,1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,9
0,36,1,0,0,1,1,1,0,1,0,1,0.123333333,0.123333333,0.123333333,0.123333333,0.123333333,0.123333333,0.123333333,0.123333333,0.123333333,0.123333333,6
0,37,1,0,1,1,1,1,1,1,0,1,0.126666667,0.126666667,0.126666667,0.126666667,0.126666667,0.126666667,0.126666667,0.126666667,0.126666667,0.126666667,8
0,38,1,0,1,1,1,1,1,1,0,1,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,8
0,39,1,0,1,1,1,1,1,1,0,1,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,8
0,40,0,1,1,1,1,1,1,1,0,1,0.136666667,0.136666667,0.136666667,0.136666667,0.136666667,0.136666667,0.136666667,0.136666667,0.136666667,0.136666667,8
0,41,1,0,1,1,1,1,1,1,0,1,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,8
0,42,1,0,1,1,1,1,1,1,0,1,0.143333333,0.143333333,0.143333333,0.143333333,0.143333333,0.143333333,0.143333333,0.143333333,0.143333333,0.143333333,8
0,43,1,0,1,1,1,1,1,1,0,1,0.146666667,0.146666667,0.146666667,0.146666667,0.146666667,0.146666667,0.146666667,0.146666667,0.146666667,0.146666667,8
0,44,1,0,1,1,1,1,1,1,0,1,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,8
0,45,1,0,1,1,1,1,1,1,0,1,0.153333333,0.153333333,0.153333333,0.153333333,0.153333333,0.153333333,0.153333333,0.153333333,0.153333333,0.153333333,8
0,46,1,0,1,1,1,1,1,1,0,1,0.156666667,0.156666667,0.156666667,0.156666667,0.156666667,0.156666667,0.156666667,0.156666667,0.156666667,0.156666667,8
0,47,1,0,1,1,1,1,1,1,0,1,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,8
0,48,1,1,1,1,1,1,1,1,0,1,0.163333333,0.163333333,0.163333333,0.163333333,0.163333333,0.163333333,0.163333333,0.163333333,0.163333333,0.163333333,9
0,49,1,0,1,1,1,1,1,1,1,1,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,9
0,50,1,0,1,1,1,1,1,1,0,1,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,8
