episode,time,action_0,action_1,action_2,action_3,action_4,action_5,age_0,age_1,age_2,age_3,age_4,age_5
0,0,0,1,0,0,0,0,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335
0,1,0,1,0,0,0,0,0.006666666666666667,0.0,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667
0,2,0,1,0,0,0,0,0.01,0.0,0.01,0.01,0.01,0.01
0,3,0,1,0,0,0,0,0.013333333333333334,0.0,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334
0,4,0,1,0,0,0,1,0.016666666666666666,0.0033333333333333335,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0
0,5,0,1,0,0,0,0,0.02,0.0,0.02,0.02,0.02,0.0033333333333333335
0,6,0,1,0,0,0,0,0.023333333333333334,0.0,0.023333333333333334,0.023333333333333334,0.023333333333333334,0.006666666666666667
0,7,0,1,0,0,0,0,0.02666666666666667,0.0,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.01
0,8,0,1,0,0,0,0,0.030000000000000002,0.0,0.030000000000000002,0.030000000000000002,0.030000000000000002,0.013333333333333334
0,9,0,1,0,0,0,0,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.016666666666666666
0,10,0,1,0,0,0,1,0.03666666666666667,0.0033333333333333335,0.03666666666666667,0.03666666666666667,0.03666666666666667,0.0
0,11,0,1,0,0,0,0,0.04,0.0,0.04,0.04,0.04,0.0033333333333333335
0,12,0,1,0,0,0,0,0.043333333333333335,0.0,0.043333333333333335,0.043333333333333335,0.043333333333333335,0.006666666666666667
0,13,0,1,0,0,0,0,0.04666666666666667,0.0,0.04666666666666667,0.04666666666666667,0.04666666666666667,0.01
0,14,0,1,0,0,0,0,0.05,0.0,0.05,0.05,0.05,0.013333333333333334
0,15,0,1,0,0,0,0,0.05333333333333334,0.0,0.05333333333333334,0.05333333333333334,0.05333333333333334,0.016666666666666666
0,16,0,1,0,0,0,1,0.05666666666666667,0.0033333333333333335,0.05666666666666667,0.05666666666666667,0.05666666666666667,0.0
0,17,0,1,0,0,0,0,0.060000000000000005,0.0,0.060000000000000005,0.060000000000000005,0.060000000000000005,0.0033333333333333335
0,18,0,1,0,0,0,0,0.06333333333333334,0.0,0.06333333333333334,0.06333333333333334,0.06333333333333334,0.006666666666666667
0,19,0,1,0,0,0,0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.01
0,20,0,1,0,0,1,0,0.06999999999999999,0.0,0.06999999999999999,0.06999999999999999,0.0,0.013333333333333334
0,21,0,1,0,0,0,0,0.07333333333333332,0.0,0.07333333333333332,0.07333333333333332,0.0033333333333333335,0.016666666666666666
0,22,0,1,0,0,0,0,0.07666666666666665,0.0,0.07666666666666665,0.07666666666666665,0.006666666666666667,0.02
